Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,39,1821,0.1
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,34,1821,0.1
2349,DODOMA,274,WILAYA YA DODOMA,17,CHILONWA,PAUL HENRY KYARA,SAU,M,34,1821,0.1
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,JAKAYA MRISHO KIKWETE,CCM,M,44586,2047,91.4
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,1430,2047,2.9
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,1424,2047,2.9
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,FREEMAN AIKAELI MBOWE,CHADEMA,M,1056,2047,2.2
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,ANNA CLAUDIA SENKORO,PPT-Maendeleo,F,103,2047,0.2
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,PROF LEONARD KANANGWE SHAYO,MAKINI,M,80,2047,0.2
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,PAUL HENRY KYARA,SAU,M,47,2047,0.1
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,29,2047,0.1
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,DR EMMANUEL JOHN MAKAIDI,NLD,M,5,2047,0
2349,DODOMA,274,WILAYA YA DODOMA,18,MTERA,AUGUSTINE LYATONGA MREMA,TLP,M,0,2047,
Region,RegionID,District,DistrictID,Const,ConstID,Candidate,Party,Sex,Valid Votes,Spoilt Votes,%
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,JAKAYA MRISHO KIKWETE,CCM,M,47521,4310,64.6
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,PROF IBRAHIM HARUNA LIPUMBA,CUF,M,24625,4310,33.5
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,FREEMAN AIKAELI MBOWE,CHADEMA,M,488,4310,0.7
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,EDMUND SENGONDO MVUNGI,NCCR-MAGEUZI,M,285,4310,0.4
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,AUGUSTINE LYATONGA MREMA,TLP,M,127,4310,0.2
2349,DODOMA,276,WILAYA YA KONDOA,19,KONDOA KASKAZINI,MCHUNGAJI CHRISTOPHER MTIKILA,DP,M,120,4310,0.2
